un,uid,iu,mid,mc,srn,run,ruid,rmc,pu,rrc,rcc,rpage,rpt,rc,cc,page,pt
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,"热门
                                    這就是幸福~ O秒拍视频 .",三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DekEUCeQq?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-22 18:58
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,煩死了，咳到睡不著!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DiFD5cajw?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-20 07:43
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,"今天一早起床就覺得右耳很痛，趕緊去看醫生 ,果真是中耳炎，第一次得，跟我想像的差不多~",三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DirwsAxi2?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-18 19:48
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,沒有什麼食物比得上媽媽的麵疙瘩~,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Digj5oMum?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-17 15:15
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,總算回到家了！我不想再離開你!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DhGhs517W?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-13 19:32
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,女兒爭著跟媽媽睡，很開心，但也在等老公和婆婆出面!太受歡迎也是累啊！,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DhnvXpNVY?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-11 19:45
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,孩子睡得那麼熟，要我如何起床~剛剛老公還一副朝氣蓬勃的問我:要不要一起去運動?我說:孩子們睡成這樣，我怎捨得把她們叫醒!其實誰要去運動啊，我要躺着!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DhjuHpPXc?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-11 09:31
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,"心臟噴血的詞,是大S寫的!這首詞是我的最愛!",三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DgMPU1sob?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-07 22:23
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,祝大家猴年平安健康~,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DgKmlha5i?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-07 16:04
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,吸拉對不起，我忘了戴蕾絲手套了,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DgqcoE3fr?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-05 12:45
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,謝謝吸拉和亞歷姐的服裝和妝髮，像到我都想跟自己要簽名，照鏡子也害羞，根本就是本人嘛！,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dgq2se1KJ?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-05 12:21
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,什麼舞步?,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DggEgo07f?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-04 12:26
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,"煩諾!長髮留太久,最後就是一直綁馬尾，然後前額變禿頭!放下來又覺得有人在我脖子那邊搞鬼!矛盾!",三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dg9NUFCGs?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-03 19:01
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,有覺得許老三很像怪獸電力公司的阿布嗎？,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DfNzq51kd?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-01 10:25
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我女兒的腦博士，其實就是矯正牙齒，但我跟她說腦博士，她會覺得有趣很多!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DfMPUmNm2?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-01 08:32
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,總算拉出來了~人生多美麗,三星android智能手机,NULL,NULL,你們可以猜出什麼事讓我開心嗎？,NULL,0,0,http://www.weibo.com/1704116960/DeDObwsOz,2016-01-24 19:43,0,0,http://www.weibo.com/1704116960/DeDUwjmQ6?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-24 19:59
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,你們可以猜出什麼事讓我開心嗎？,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DeDObwsOz?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-24 19:43
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,便秘~,三星android智能手机,NULL,NULL,你們可以猜出我在困擾什麼嗎？跟工作無關,NULL,0,0,http://www.weibo.com/1704116960/DeCpSdwRt,2016-01-24 16:11,0,0,http://www.weibo.com/1704116960/DeCOruShI?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-24 17:11
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,你們可以猜出我在困擾什麼嗎？跟工作無關,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DeCpSdwRt?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-24 16:11
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,早安~那坨是花生吐司~,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DeqEj8YfR?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-23 10:13
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,發吧！人生總有話說~,三星android智能手机,NULL,NULL,#康熙走了有没乾隆#真的很高兴通过康熙认识了大家，我一直是一个提笔语死早，就连在网上聊天都很困难，写个回复要思考打字大半天，可转发、评论我都在缓慢但是全部地看并开心着！很遗憾没有新鲜的康熙课后练习可以分享了，也许我还是会试着发微博，肯定没有康熙那么精彩，但是就一起发发牢骚吧：）,NULL,0,0,http://www.weibo.com/2420550557/Dekbr2SEc,2016-01-22 17:46,0,0,http://www.weibo.com/1704116960/Del1fAVFi?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-22 19:53
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,這就是幸福~ O秒拍视频 .,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DekEUCeQq?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-22 18:58
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,我老公今天起床看到我綁馬尾，嚇到倒退說:baby你綁這樣很漂亮!發自內心的嚇到!,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DebSO4Ugr?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-21 20:38
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,最近皮膚都好到炸!不知道怎麼搞的?,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/De8LkA5MC?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-21 12:41
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,拍完看照片，許老三問我:媽媽你的眼睛怎麼這樣?可以看出拍的當時她就在注意我的眼睛了，所以笑的有點僵硬！,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DdZqbhPIw?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-20 12:54
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,喜歡又不喜歡!合照就好，幹嘛抱在一起啦?,三星android智能手机,NULL,NULL,為了妳@小S 我冒著生命危險跟妳的偶像@胡歌 拍了這兩張照片⋯喜歡嗎？😆😆,NULL,0,0,http://www.weibo.com/1768305123/DdSPstAKa,2016-01-19 20:07,0,0,http://www.weibo.com/1704116960/DdT244TMj?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-19 20:38
