un,uid,iu,mid,mc,value,srn,run,ruid,rmc,pu,rrc,rcc,rpage,rpt,rc,cc,page,pt
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,沒有什麼食物比得上媽媽的麵疙瘩~,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Digj5oMum?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-17 15:15
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,總算回到家了！我不想再離開你!,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DhGhs517W?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-13 19:32
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,女兒爭著跟媽媽睡，很開心，但也在等老公和婆婆出面!太受歡迎也是累啊！,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DhnvXpNVY?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-11 19:45
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,孩子睡得那麼熟，要我如何起床~剛剛老公還一副朝氣蓬勃的問我:要不要一起去運動?我說:孩子們睡成這樣，我怎捨得把她們叫醒!其實誰要去運動啊，我要躺着!,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DhjuHpPXc?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-11 09:31
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,"心臟噴血的詞,是大S寫的!這首詞是我的最愛!",p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DgMPU1sob?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-07 22:23
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,祝大家猴年平安健康~,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DgKmlha5i?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-07 16:04
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,謝謝吸拉和亞歷姐的服裝和妝髮，像到我都想跟自己要簽名，照鏡子也害羞，根本就是本人嘛！,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/Dgq2se1KJ?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-02-05 12:21
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,總算拉出來了~人生多美麗,p,三星android智能手机,NULL,NULL,你們可以猜出什麼事讓我開心嗎？,NULL,0,0,http://www.weibo.com/1704116960/DeDObwsOz,2016-01-24 19:43,0,0,http://www.weibo.com/1704116960/DeDUwjmQ6?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-24 19:59
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,你們可以猜出什麼事讓我開心嗎？,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DeDObwsOz?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-24 19:43
小S,1704116960,http://tp1.sinaimg.cn/1704116960/180/40090128040/0,NULL,這就是幸福~ O秒拍视频 .,p,三星android智能手机,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,http://www.weibo.com/1704116960/DekEUCeQq?from=page_1003061704116960_profile&wvr=6&mod=weibotime,2016-01-22 18:58
